KIC,inv_r_gaia_K_MIST,inv_r_gaia_K_MIST_err,teff,teff_err,feh,feh_err,flags,Dnu,e_Dnu,numax,e_numax,Phase,fDnu_S16,Rseis_S16,e_Rseis_S16,fDnu_o,e_fDnu_o,fDnu,e_fDnu,Rseis_m,e_Rseis_m,Rseis_o,e_Rseis_o,Rseis,e_Rseis
7944038,0.0548189164867751,0.0011305748173343,4566.62451172,30.0,-0.0822005495429,0.0063468972221,nan,2.317,0.012,20.15,0.44,1.0,0.9797628041028323,18.921848679890125,0.4615158333285022,0.9896760233045022,0.002008842073243422,0.965019064048178,0.001849510727799264,18.52581643623956,0.3153594894603291,19.30668750017831,0.4709022950768841,18.35665118076083,0.44773030955549653
7946636,0.1175147019930445,0.0038996594840662,4620.13769531,30.0,-0.274881541729,0.00944532640278,nan,5.144,0.015,47.47,0.45,1.0,0.9660170422633937,8.843320860751911,0.1025282305879571,0.9757439046076248,0.0016318098063169417,0.9529539458986375,0.0010410057544679718,8.696009360447935,6.127272360600955e-07,9.022304913762209,0.10460334677423631,8.605767955682653,0.09977407528687837
7946762,0.1142448047577773,0.0022411735675313,4641.76171875,30.0,0.157998457551,0.0056606056168699,nan,5.707,0.015,57.8,0.72,1.0,0.9771482057888216,8.971714135755091,0.12471853172255751,0.9764353381302286,0.0009462533251863858,0.9604217053479034,0.0010329497832278767,8.666828267761728,0.00025020428954469764,8.958628481243958,0.12453662405223248,8.66719329696667,0.12048529476048647
7947648,0.0758789828590639,0.0025700561968121,4542.33251953,30.0,-0.136191546917,0.00766044622287,nan,3.096,0.019,25.3,0.33,1.0,0.9687785632574393,12.975023538547608,0.23630434238119957,0.9779431508400849,0.003271461641011275,0.9518048769232949,0.003347317064876787,12.804281136215405,0.408057810822676,13.221670581326809,0.24079633941465778,12.524343351403465,0.22809644318695627
7948193,0.1398314184805335,0.0030672273759735,4932.00439453,30.0,0.0264234505594,0.0065576126799,nan,9.073,0.024,111.91,1.99,0.0,0.9894151399012194,7.2633494547998145,0.13655158120844557,0.9857390956739651,0.007918663528411751,0.972840616450746,0.0072697317473590095,6.911494253343736,0.2443189766428997,7.209477643411806,0.1355387866192035,7.0220387997819005,0.13201492057959938
7950550,0.1170635507180821,0.0023511593138925,4794.83251953,30.0,-0.184721544385,0.00692905345932,nan,6.025,0.019,62.18,0.48,1.0,0.9754234773538834,8.770225899309294,0.0916296250503315,0.9834547529247456,0.00035835246000881504,0.9639807664194492,0.0004070065809844703,8.523267991736324,0.03822496084001692,8.915242038534135,0.09314472564363153,8.56566546378617,0.08949241715827565
7956524,0.0662305944149003,0.0017031653761712,4436.61523438,30.0,-0.0258455500007,0.00617772713304,nan,2.534,0.065,18.91,0.7,0.0,0.9659601134737281,14.224061238122792,0.9011419787707319,0.9759622611088782,0.006093037069443863,0.9490020563994055,0.007444201119606586,14.584841723492154,1.0695402635017546,14.520155745990502,0.919900558775149,13.729019841615349,0.8697794462173345
7956671,0.0933538238965982,0.0019383396848635,4716.89306641,30.0,-0.0632245466113,0.0064023435115799,nan,4.445,0.015,43.03,0.53,1.0,0.9762160176138868,11.077677667939813,0.15952320718631188,0.9778182046370695,0.0006849342439151918,0.9589278662971246,0.0007118358390414969,10.6004462307699,0.010050902653570226,11.114069359344414,0.16004726281437895,10.6887949149985,0.15392313234858845
7957166,0.1977963343664143,0.0037078095975285,4858.21386719,30.0,0.232818454504,0.00606424221769,nan,14.262,0.015,193.53,2.4,1.0,0.9906627139937585,5.05799524846195,0.06550970659096778,0.9908862955815853,0.00046682166551825777,0.9792291764086685,0.0006142398717810527,4.927738710514475,0.08787106909592346,5.060278572959427,0.06553927955625026,4.94191728020038,0.06400629797372889
7957377,0.1313248369562515,0.0028265291145397,4730.75878906,30.0,0.158288449049,0.00575087405741,nan,7.231,0.012,80.85,0.6,1.0,0.9817787877657491,7.966673661386064,0.06951720618800211,0.9781334847847087,0.004282531040378068,0.9643160818868172,0.002680244888497052,7.649193575712977,0.06346478443782466,7.9076236478383075,0.06900193568218231,7.685790770984915,0.06706622166966532
7957671,0.1314382494139316,0.004759399037617,4618.89453125,30.0,-0.309901535511,0.00876128673553,nan,5.875,0.015,55.4,0.66,1.0,0.9647690223928448,7.8906136810719625,0.10543634077583287,0.9811575248655463,1.5948831144640963e-09,0.9541910607743095,2.019216299720128e-08,7.6468389387598785,1.5267757595971432e-06,8.160965810368449,0.1090488531083469,7.718533042774081,0.10313695652590804
7957918,0.1292561503365827,0.0032624096949593,4841.66113281,30.0,-0.0767805501819,0.00737136788666,nan,7.527,0.012,84.09,0.64,1.0,0.9823138174679775,7.744604714207548,0.06826272655898298,0.9866182147841922,6.069639013617234e-09,0.9693393159934987,1.801190585570822e-08,7.5725006864388815,3.6384664747757256e-07,7.812625528503225,0.06886227765525352,7.5413727272551085,0.06647139309971388
7974594,0.0709165978178388,0.0030184525235767,4695.796875,30.0,-0.361651539803,0.0075477836653599,nan,2.977,0.016,24.75,0.3,1.0,0.9693249526212933,13.973718986146206,0.23074425629047288,0.9807683186177478,0.0013164785742761365,0.9553760576504341,0.0016154644428961196,13.72967154028759,0.1807011224540922,14.305599987797606,0.2362245178428135,13.57444014298579,0.22415107234216883
7975276,0.1384784570672373,0.0029043405056625,4782.11425781,30.0,0.0879714488983,0.00603257725015,nan,7.847,0.012,87.6,0.66,1.0,0.9832006705157958,7.390811775838041,0.0644138254214355,0.9848447481685476,4.741530001961536e-09,0.9703670634114636,1.8679845170677112e-08,7.277862682364278,1.2082853862782628e-05,7.415549813882301,0.06462942713234109,7.199128146798193,0.06274322736108645
7975647,0.1438232533547845,0.0034216182824161,4943.6875,30.0,-0.147621542215,0.00753487786278,nan,8.954,0.013,104.59,1.0,1.0,0.9868439254933835,6.941917806796363,0.07249347285566092,0.9875694825049063,0.0010503645399758677,0.9719055488712878,0.0015151422840835038,6.692629608772463,0.09246916078095246,6.9521293683104295,0.0726001107586204,6.733341573405452,0.07031534053913355
7976006,0.1513638942493835,0.0042185230971724,4998.61767578,30.0,-0.140281543136,0.0095205502584599,nan,9.428,0.013,113.72,0.71,1.0,0.9896548373402603,6.884797991450141,0.0513322654597179,0.9900846698454994,0.001385439838136271,0.975224264648541,0.0010834780782236209,6.708777628191548,0.04223536022201557,6.8907797792597885,0.05137686498466399,6.6854815618685794,0.04984618498408598
7983015,0.1806034278865341,0.0053771593101066,4645.84472656,30.0,0.287858456373,0.00789864547551,nan,11.371,0.023,136.75,0.84,1.0,0.9814476204976355,5.396319424641203,0.04334592460597913,0.9833739630427594,0.0006402757173967766,0.9691101953824993,0.0007614497451750024,5.155578086305153,0.0645700081874554,5.417523533877958,0.04351624656952272,5.2615017744222,0.04226300210971924
